parameter,type,filepath,namelist,nl_var,default,name,function_name
u10_max_coare,um_rose,app/um/rose-app.conf,namelist:jules_sea_seaice,u10_max_coare,22.0,,
a_snow_et,um_rose,app/um/rose-app.conf,namelist:jules_snow,a_snow_et,2.8e-06,,
orog_drag_param,um_rose,app/um/rose-app.conf,namelist:jules_surface,orog_drag_param,0.15,,
a_ent_2,um_rose,app/um/rose-app.conf,namelist:run_bl,a_ent_2,0.056,,
dec_thres_cloud,um_rose,app/um/rose-app.conf,namelist:run_bl,dec_thres_cloud,0.1,,
near_neut_z_on_l,um_rose,app/um/rose-app.conf,namelist:run_bl,near_neut_z_on_l,1.6,,
zhloc_depth_fac,um_rose,app/um/rose-app.conf,namelist:run_bl,zhloc_depth_fac,0.4,,
dbsdtbs_turb_0,um_rose,app/um/rose-app.conf,namelist:run_cloud,dbsdtbs_turb_0,0.00015,,
ez_max_bm,um_rose,app/um/rose-app.conf,namelist:run_cloud,ez_max_bm,400.0,,
forced_cu_fac,um_rose,app/um/rose-app.conf,namelist:run_cloud,forced_cu_fac,0.5,,
ice_width,um_rose,app/um/rose-app.conf,namelist:run_cloud,ice_width,0.02,,
amdet_fac,um_rose,app/um/rose-app.conf,namelist:run_convection,amdet_fac,3.0,,
c_mass_sh,um_rose,app/um/rose-app.conf,namelist:run_convection,c_mass_sh,0.03,,
cape_timescale,um_rose,app/um/rose-app.conf,namelist:run_convection,cape_timescale,3600.0,,
cca_sh_knob,um_rose,app/um/rose-app.conf,namelist:run_convection,cca_sh_knob,0.5,,
cpress_term,um_rose,app/um/rose-app.conf,namelist:run_convection,cpress_term,0.7,,
eff_dcff,um_rose,app/um/rose-app.conf,namelist:run_convection,eff_dcff,1.0,,
eff_dcfl,um_rose,app/um/rose-app.conf,namelist:run_convection,eff_dcfl,1.0,,
ent_fac_dp,um_rose,app/um/rose-app.conf,namelist:run_convection,ent_fac_dp,1.13,,
ent_fac_md,um_rose,app/um/rose-app.conf,namelist:run_convection,ent_fac_md,0.9,,
ent_fac_sh,um_rose,app/um/rose-app.conf,namelist:run_convection,ent_fac_sh,1.0,,
mparwtr,um_rose,app/um/rose-app.conf,namelist:run_convection,mparwtr,0.0015,,
orig_mdet_fac,um_rose,app/um/rose-app.conf,namelist:run_convection,orig_mdet_fac,1.0,,
qlmin,um_rose,app/um/rose-app.conf,namelist:run_convection,qlmin,0.0003,,
r_det,um_rose,app/um/rose-app.conf,namelist:run_convection,r_det,0.8,,
thpixs_mid,um_rose,app/um/rose-app.conf,namelist:run_convection,thpixs_mid,0.2,,
fbcd,um_rose,app/um/rose-app.conf,namelist:run_gwd,fbcd,4.0,,
gsharp,um_rose,app/um/rose-app.conf,namelist:run_gwd,gsharp,0.5,,
gwd_frc,um_rose,app/um/rose-app.conf,namelist:run_gwd,gwd_frc,4.0,,
gwd_fsat,um_rose,app/um/rose-app.conf,namelist:run_gwd,gwd_fsat,0.25,,
nsigma,um_rose,app/um/rose-app.conf,namelist:run_gwd,nsigma,2.5,,
ai,um_rose,app/um/rose-app.conf,namelist:run_precip,ai,0.0257,,
ar,um_rose,app/um/rose-app.conf,namelist:run_precip,ar,1.0,,
aut_qc,um_rose,app/um/rose-app.conf,namelist:run_precip,aut_qc,2.47,,
c_r_correl,um_rose,app/um/rose-app.conf,namelist:run_precip,c_r_correl,0.9,,
mp_dz_scal,um_rose,app/um/rose-app.conf,namelist:run_precip,mp_dz_scal,2.0,,
x1r,um_rose,app/um/rose-app.conf,namelist:run_precip,x1r,0.22,,
dp_corr_strat,um_rose,app/um/rose-app.conf,namelist:run_radiation,dp_corr_strat,10000.0,,
two_d_fsd_factor,um_rose,app/um/rose-app.conf,namelist:run_radiation,two_d_fsd_factor,1.5,,
acc_cor_scav_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,acc_cor_scav_scaling,1.0,,
anth_so2_ems_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,anth_so2_ems_scaling,1.0,,
bc_refrac_im_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,bc_refrac_im_scaling,1.0,,
biom_aer_ems_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,biom_aer_ems_scaling,2.0,,
dry_depvel_acc_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,dry_depvel_acc_scaling,1.0,,
dry_depvel_so2_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,dry_depvel_so2_scaling,1.0,,
marine_pom_ems_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,marine_pom_ems_scaling,1.0,,
sea_salt_ems_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,sea_salt_ems_scaling,1.0,,
seadms_ems_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,seadms_ems_scaling,1.0,,
sigma_updraught_scaling,um_rose,app/um/rose-app.conf,namelist:run_ukca,sigma_updraught_scaling,1.0,,
albicei,um_rose,app/nemo_cice/rose-app.conf,namelist:shortwave_nml,albicei,0.36,,
albicev,um_rose,app/nemo_cice/rose-app.conf,namelist:shortwave_nml,albicev,0.78,,
