,TEMP@500_NHX,TEMP@500_SHX,TEMP@500_TROPICSLAND,TEMP@500_TROPICSOCEAN,RH@500_NHX,RH@500_SHX,RH@500_TROPICSLAND,RH@500_TROPICSOCEAN,OLR_NHX,OLR_SHX,OLR_TROPICSLAND,OLR_TROPICSOCEAN,OLRC_NHX,OLRC_SHX,OLRC_TROPICSLAND,OLRC_TROPICSOCEAN,RSR_NHX,RSR_SHX,RSR_TROPICSLAND,RSR_TROPICSOCEAN,RSRC_NHX,RSRC_SHX,RSRC_TROPICSLAND,RSRC_TROPICSOCEAN,LAT_NHX,LAT_SHX,LAT_TROPICSLAND,Lprecip_NHX,Lprecip_SHX,Lprecip_TROPICSLAND,netflux_GLOBAL,MSLP_NHX_DGM,MSLP_TROPICSLAND_DGM,MSLP_TROPICSOCEAN_DGM
TEMP@500_NHX,0.005102856,0.000236513,0.001636221,0.001880666,-0.001227046,0.002310791,-0.010920937,0.011856466,0.011660658,0.001025251,0.01245136,-0.01419611,0.012150517,0.002402325,0.005447229,-0.002971073,-0.008914963,-0.003144695,-0.005097329,0.008387908,-0.007280118,2.75E-05,0.001753757,1.17E-05,0.007780235,0.00075235,-4.82E-05,-3.01E-12,3.15E-11,-1.83E-11,0.001088069,-0.724676753,0.57504145,0.355624509
TEMP@500_SHX,0.000236513,0.004390151,0.004550556,0.002354868,-0.001125461,-0.004263305,-0.001636201,0.023000526,-0.006858385,0.0072899,0.006240106,-0.022386005,-0.004933885,0.004617409,0.003511403,-0.006702067,-0.000829427,0.004851351,-0.000883085,0.010968093,-0.001907758,-0.000327385,0.00126629,-0.000130431,-0.002255345,0.005236325,0.000136979,3.36E-13,-4.12E-11,-1.04E-11,0.002500065,0.001454786,0.123384977,-0.033664489
TEMP@500_TROPICSLAND,0.001636221,0.004550556,0.017270316,0.010517221,0.007052935,-0.004860988,0.02433599,0.091739012,-0.010705609,0.006256753,-0.01976548,-0.101823102,-0.003097094,0.005758408,-0.00397685,-0.029565863,-0.000124659,0.000405843,0.044484151,0.053654036,-0.010074771,0.001816853,-0.001325424,-0.000532133,-0.003969007,0.003826435,-0.000931283,-4.10E-13,-4.26E-11,-9.65E-12,0.015977409,0.943198344,-0.209934318,-0.21077522
TEMP@500_TROPICSOCEAN,0.001880666,0.002354868,0.010517221,0.007525965,0.006362923,-0.002172996,0.014013668,0.063079088,-0.003844712,-0.001376093,-0.007691759,-0.070411955,0.002021229,0.000982385,-0.000112873,-0.019622244,-0.000319429,-0.000834014,0.02463492,0.036409282,-0.009675923,0.001107019,0.000381314,-0.000319293,-0.000539306,0.00508757,-0.000397003,1.26E-12,-1.80E-11,-1.69E-11,0.012195416,0.413753718,0.14498335,0.061760629
RH@500_NHX,-0.001227046,-0.001125461,0.007052935,0.006362923,0.032962186,-0.000328064,0.050357294,0.062545357,-0.018104756,0.000659817,-0.050011762,-0.071149288,0.002496954,0.000743531,-0.016895697,-0.020505056,0.014886978,0.006838948,0.045295341,0.041169909,-0.018113358,-0.001380589,-0.001007981,-0.000184601,-0.004541407,-0.012700001,-7.99E-05,1.01E-11,-1.35E-12,-1.10E-12,0.01080204,0.00260697,-0.706429669,-0.143936487
RH@500_SHX,0.002310791,-0.004263305,-0.004860988,-0.002172996,-0.000328064,0.029135443,0.006996998,-0.004567143,0.009482509,-0.004237941,-0.016006946,-0.001669009,0.00909441,0.007396535,-0.005408305,-0.002416258,0.00894079,-0.001314508,0.003544648,-0.000747312,0.001604935,-0.003146967,-0.001949219,8.59E-05,-0.001164212,-0.027669278,-4.00E-05,-4.92E-12,3.83E-11,1.93E-12,-0.000698029,0.805035521,-0.481754907,-0.468718711
RH@500_TROPICSLAND,-0.010920937,-0.001636201,0.02433599,0.014013668,0.050357294,0.006996998,0.195576379,0.19915489,-0.052337903,-0.000109417,-0.224655304,-0.22405077,-0.013380157,0.00339086,-0.086600783,-0.073640191,0.03417801,0.008950321,0.202165356,0.109592923,-0.00827884,-0.001382591,-0.013312336,-0.000762187,-0.015306393,-0.009486253,-0.007249001,4.93E-12,-3.46E-11,1.29E-10,0.048186298,1.334845323,-1.583025969,0.4664915
RH@500_TROPICSOCEAN,0.011856466,0.023000526,0.091739012,0.063079088,0.062545357,-0.004567143,0.19915489,0.631196821,-0.051770754,0.000211384,-0.15571163,-0.695825008,0.009534363,0.012842873,-0.037533003,-0.201270729,0.01526186,0.020151251,0.277800129,0.34173608,-0.063849271,0.005455369,0.001744912,-0.002735958,-0.011147855,0.0319007,-0.008169235,-1.27E-11,-1.15E-10,-1.16E-10,0.121459465,2.087110793,1.803110953,1.509338202
OLR_NHX,0.011660658,-0.006858385,-0.010705609,-0.003844712,-0.018104756,0.009482509,-0.052337903,-0.051770754,0.087477717,-0.027463136,0.051160437,0.05092408,0.053276616,-0.015756288,0.016311704,0.019460358,-0.06705977,-0.008062366,-0.033549754,-0.029488279,-0.021152534,0.000766621,0.007047454,0.000352134,0.026346044,-0.002971229,-0.003498224,-3.09E-11,2.69E-10,-2.39E-12,-0.006549183,-1.485555239,0.912840397,0.497359587
OLR_SHX,0.001025251,0.0072899,0.006256753,-0.001376093,0.000659817,-0.004237941,-0.000109417,0.000211384,-0.027463136,0.06275121,-0.029025474,-0.004285075,-0.016190874,0.037571682,-0.015445452,-0.006208003,0.008364692,-0.003095952,0.022072822,0.010263414,0.000375808,-0.001601808,-0.003346336,-8.79E-05,-0.003162514,-0.009277543,-0.000995784,5.98E-12,-1.58E-10,1.62E-11,-0.011430546,-1.266201952,-0.453000327,-0.408975249
OLR_TROPICSLAND,0.01245136,0.006240106,-0.01976548,-0.007691759,-0.050011762,-0.016006946,-0.224655304,-0.15571163,0.051160437,-0.029025474,0.314617039,0.188031116,0.015422202,-0.025825316,0.134049519,0.068893851,-0.044385064,0.007361454,-0.265713884,-0.096107083,-0.0056793,0.004093529,0.021195236,0.000574203,0.015279406,0.012634604,0.013549415,-1.00E-11,1.41E-10,-2.21E-10,-0.037079619,-1.698639178,1.784045081,-0.557329472
OLR_TROPICSOCEAN,-0.01419611,-0.022386005,-0.101823102,-0.070411955,-0.071149288,-0.001669009,-0.22405077,-0.695825008,0.05092408,-0.004285075,0.188031116,0.784932286,-0.019992465,-0.019182537,0.051365854,0.22635754,-0.024335269,-0.008534336,-0.33111408,-0.388495081,0.071977026,-0.006253478,-0.00035941,0.003028378,0.009916259,-0.036659393,0.009594845,7.88E-12,2.25E-10,1.33E-10,-0.134100045,-2.073327192,-2.160517964,-1.85349676
OLRC_NHX,0.012150517,-0.004933885,-0.003097094,0.002021229,0.002496954,0.00909441,-0.013380157,0.009534363,0.053276616,-0.016190874,0.015422202,-0.019992465,0.055367673,-0.005439453,0.005755706,-0.002281744,-0.04082424,-0.015773042,-0.00258428,0.012356323,-0.033180024,-0.001438196,0.006530685,0.000267475,0.035635229,0.001509772,-0.001209387,-1.18E-11,2.00E-10,-2.06E-11,0.006075935,-3.37039632,1.634419846,1.627422585
OLRC_SHX,0.002402325,0.004617409,0.005758408,0.000982385,0.000743531,0.007396535,0.00339086,0.012842873,-0.015756288,0.037571682,-0.025825316,-0.019182537,-0.005439453,0.030913371,-0.012352211,-0.009374754,0.010809382,-0.003905616,0.020876397,0.017609653,-0.003675454,-0.003122017,-0.002856664,-0.000113133,-0.000920178,-0.012547928,-0.000880039,4.66E-12,-1.54E-10,9.20E-12,-0.005909535,0.049029156,-0.391346207,-0.43317839
OLRC_TROPICSLAND,0.005447229,0.003511403,-0.00397685,-0.000112873,-0.016895697,-0.005408305,-0.086600783,-0.037533003,0.016311704,-0.015445452,0.134049519,0.051365854,0.005755706,-0.012352211,0.062653794,0.020753963,-0.023236139,0.005037507,-0.107836602,-0.026650127,-0.0125293,0.002468798,0.009284545,8.45E-05,0.00653644,-0.001483008,0.007750901,-1.81E-12,8.52E-11,-9.77E-11,-0.00832679,-0.611198276,0.44212564,-0.389077565
OLRC_TROPICSOCEAN,-0.002971073,-0.006702067,-0.029565863,-0.019622244,-0.020505056,-0.002416258,-0.073640191,-0.201270729,0.019460358,-0.006208003,0.068893851,0.22635754,-0.002281744,-0.009374754,0.020753963,0.067404782,-0.007190802,-0.004651581,-0.102716032,-0.111052264,0.022099003,-0.001505291,0.001436805,0.000906509,0.004109624,-0.00432706,0.003102695,2.55E-12,6.45E-11,2.14E-11,-0.0393538,-0.669354987,-0.2911703,-0.38045687
RSR_NHX,-0.008914963,-0.000829427,-0.000124659,-0.000319429,0.014886978,0.00894079,0.03417801,0.01526186,-0.06705977,0.008364692,-0.044385064,-0.024335269,-0.04082424,0.010809382,-0.023236139,-0.007190802,0.115246839,0.006552253,0.03108569,0.018974637,0.068765117,-0.004145877,-0.0068113,4.03E-05,-0.033298352,-0.005203689,0.000834033,2.50E-11,-2.97E-10,-3.41E-11,-0.011959837,2.304404093,-0.083236468,-0.473370226
RSR_SHX,-0.003144695,0.004851351,0.000405843,-0.000834014,0.006838948,-0.001314508,0.008950321,0.020151251,-0.008062366,-0.003095952,0.007361454,-0.008534336,-0.015773042,-0.003905616,0.005037507,-0.004651581,0.006552253,0.065016638,-0.018472524,-0.000949465,0.003667619,-0.001997713,1.90E-05,-0.000185832,-0.025506254,-0.049676879,0.001579047,-1.89E-11,-9.69E-11,-3.22E-12,-0.010021158,1.492188515,-1.924591556,-1.695983578
RSR_TROPICSLAND,-0.005097329,-0.000883085,0.044484151,0.02463492,0.045295341,0.003544648,0.202165356,0.277800129,-0.033549754,0.022072822,-0.265713884,-0.33111408,-0.00258428,0.020876397,-0.107836602,-0.102716032,0.03108569,-0.018472524,0.302665515,0.174019664,-0.0034061,0.001644501,-0.016348225,-0.001302894,-0.011443291,0.007141888,-0.012844217,2.67E-12,-2.54E-10,1.40E-10,0.054022257,2.307238919,-0.813690807,0.719141155
RSR_TROPICSOCEAN,0.008387908,0.010968093,0.053654036,0.036409282,0.041169909,-0.000747312,0.109592923,0.34173608,-0.029488279,0.010263414,-0.096107083,-0.388495081,0.012356323,0.017609653,-0.026650127,-0.111052264,0.018974637,-0.000949465,0.174019664,0.203799185,-0.036301477,0.00215953,-0.000976512,-0.001547373,-0.002865852,0.008637543,-0.004079695,1.14E-13,-1.69E-10,-5.94E-11,0.059744637,1.13363845,0.612921288,0.604873385
RSRC_NHX,-0.007280118,-0.001907758,-0.010074771,-0.009675923,-0.018113358,0.001604935,-0.00827884,-0.063849271,-0.021152534,0.000375808,-0.0056793,0.071977026,-0.033180024,-0.003675454,-0.0125293,0.022099003,0.068765117,0.003667619,-0.0034061,-0.036301477,0.094262426,-0.001426496,-0.004171296,0.000323185,-0.026519887,0.004439677,-0.002415045,-4.21E-12,-3.67E-12,2.01E-11,-0.025071946,1.5569742,0.218237319,-0.485914572
RSRC_SHX,2.75E-05,-0.000327385,0.001816853,0.001107019,-0.001380589,-0.003146967,-0.001382591,0.005455369,0.000766621,-0.001601808,0.004093529,-0.006253478,-0.001438196,-0.003122017,0.002468798,-0.001505291,-0.004145877,-0.001997713,0.001644501,0.00215953,-0.001426496,0.002059894,-0.000312734,-7.63E-05,-0.000504276,0.001855021,0.000254888,-4.30E-13,1.07E-11,-1.57E-12,0.002538884,0.050661168,-0.03939708,-0.044328161
RSRC_TROPICSLAND,0.001753757,0.00126629,-0.001325424,0.000381314,-0.001007981,-0.001949219,-0.013312336,0.001744912,0.007047454,-0.003346336,0.021195236,-0.00035941,0.006530685,-0.002856664,0.009284545,0.001436805,-0.0068113,1.90E-05,-0.016348225,-0.000976512,-0.004171296,-0.000312734,0.004254446,6.86E-05,0.005070296,0.005670145,0.000689034,-1.41E-13,3.00E-11,-2.15E-11,0.000650963,-0.908491544,0.660131465,0.363430783
