,TEMP@500_NHX,TEMP@500_TROPICS,TEMP@500_SHX,RH@500_NHX,RH@500_TROPICS,RH@500_SHX,OLR_NHX,OLR_TROPICS,OLR_SHX,OLRC_NHX,OLRC_TROPICS,OLRC_SHX,RSR_NHX,RSR_TROPICS,RSR_SHX,RSRC_NHX,RSRC_TROPICS,RSRC_SHX,LAT_NHX,LAT_TROPICS,LAT_SHX,Lprecip_NHX,Lprecip_TROPICS,Lprecip_SHX,netflux_GLOBAL,MSLP_NHX_DGM,MSLP_TROPICS_DGM
TEMP@500_NHX,0.253636553,-0.022132516,-0.024550847,-0.01227711,4.82E-05,0.003105744,0.000901982,-0.00810207,-0.033053647,0.00651682,-0.00301827,-0.012898129,0.017633702,-0.003842312,0.028032476,-0.000884171,0.000747085,-0.004401747,-0.00941976,0.002038263,-0.010374897,-3.89E-13,-4.66E-13,6.48E-11,0.003024595,-0.496968386,-0.006414096
TEMP@500_TROPICS,-0.022132516,0.216628286,-0.073566348,0.005277309,-0.000102321,0.009418482,0.009780433,0.061258438,-0.014065673,0.000913938,0.023786697,-0.016416666,-0.019720871,-0.03823984,-0.001657328,0.00193328,0.001420841,0.001459571,0.00887405,0.000703303,0.012332181,6.60E-13,-4.45E-11,-3.35E-11,-0.00591971,-0.320195478,0.460627957
TEMP@500_SHX,-0.024550847,-0.073566348,0.457946033,0.001506833,0.000160957,-0.026353981,-0.026356169,-0.068900717,0.084277487,-0.013866562,-0.035113919,0.058858428,0.031541729,0.049910345,-0.02251716,0.007343256,-0.003813588,-0.000278943,-0.007428104,-0.005518082,-0.014359138,-1.72E-12,9.40E-11,-3.41E-11,-0.006032123,0.872240061,-0.70194058
RH@500_NHX,-0.01227711,0.005277309,0.001506833,0.087951653,-1.52E-05,-8.68E-05,-0.001878926,0.007598443,0.009222765,-0.006270316,0.003325804,0.001709223,-0.000972306,-0.002449544,0.001078847,0.004236848,2.98E-05,0.001801055,-0.003661817,0.000368311,0.002004873,3.58E-12,1.25E-12,-1.55E-11,-0.004469858,0.102501333,-0.321170823
RH@500_TROPICS,4.82E-05,-0.000102321,0.000160957,-1.52E-05,0.00050675,-2.07E-05,2.00E-05,-0.000105317,3.16E-05,3.01E-05,-4.16E-05,3.74E-05,8.26E-06,6.95E-05,-7.03E-06,-2.27E-05,-1.52E-06,-4.50E-06,2.71E-06,-3.42E-06,-2.82E-05,-9.43E-15,8.27E-14,5.21E-14,6.15E-06,-0.001855829,0.000111756
RH@500_SHX,0.003105744,0.009418482,-0.026353981,-8.68E-05,-2.07E-05,0.069526855,0.004986704,0.019624999,-0.011560205,0.001434289,0.00743663,-0.00910069,-0.002997706,-0.014401103,0.00322639,0.001094995,0.00055881,0.000508393,0.000758366,0.000596649,0.000844503,9.20E-13,-1.16E-11,2.35E-12,-0.00121926,-0.262092101,0.099709387
OLR_NHX,0.000901982,0.009780433,-0.026356169,-0.001878926,2.00E-05,0.004986704,0.308167413,0.095498921,-0.022673253,0.05031239,0.031218833,-0.013707709,-0.079227757,-0.058497012,-0.012902859,-0.01560907,0.002306138,0.001479629,0.028029552,-0.001674318,0.00194637,-3.06E-11,-1.86E-11,-6.53E-12,-0.014623186,-1.641856314,0.745143597
OLR_TROPICS,-0.00810207,0.061258438,-0.068900717,0.007598443,-0.000105317,0.019624999,0.095498921,0.727148519,-0.012771473,0.012833943,0.157499434,-0.022139659,-0.066102588,-0.31440082,-0.004562839,0.033450698,0.003090694,-0.002307078,0.014703414,0.002204124,0.018599474,6.62E-12,-3.85E-11,1.03E-10,-0.114988746,-0.305805854,-1.778943767
OLR_SHX,-0.033053647,-0.014065673,0.084277487,0.009222765,3.16E-05,-0.011560205,-0.022673253,-0.012771473,0.255272819,-0.014960377,-0.008769504,0.032995903,0.007002346,0.014149209,-0.004234683,0.002396389,-0.000787141,-0.000464195,-0.002581055,-0.003361971,-0.002218318,3.58E-12,2.40E-11,4.05E-12,-0.011513721,-0.933424276,-0.429201815
OLRC_NHX,0.00651682,0.000913938,-0.013866562,-0.006270316,3.01E-05,0.001434289,0.05031239,0.012833943,-0.014960377,0.223928603,0.006183642,-0.005740148,-0.046125657,-0.006843077,-0.020545335,-0.027779932,0.001996628,-0.000781565,0.035409267,-0.000924905,-0.000786386,-1.46E-11,-1.46E-11,-4.36E-11,0.004335318,-3.725194262,1.836565522
OLRC_TROPICS,-0.00301827,0.023786697,-0.035113919,0.003325804,-4.16E-05,0.00743663,0.031218833,0.157499434,-0.008769504,0.006183642,0.222351695,-0.01010197,-0.020957453,-0.093293079,-0.002382032,0.008893623,0.00138996,-0.000250461,0.00566153,0.001462278,0.006434906,1.84E-12,-2.72E-11,2.42E-11,-0.033370713,-0.225210544,-0.454356581
OLRC_SHX,-0.012898129,-0.016416666,0.058858428,0.001709223,3.74E-05,-0.00910069,-0.013707709,-0.022139659,0.032995903,-0.005740148,-0.01010197,0.151377943,0.009230062,0.018297072,-0.006020342,-0.001433835,-0.000733706,-0.001446134,-0.000679938,-0.001621403,-0.002013289,2.76E-12,1.88E-11,-2.25E-11,-0.003355358,0.207414442,-0.150497135
RSR_NHX,0.017633702,-0.019720871,0.031541729,-0.000972306,8.26E-06,-0.002997706,-0.079227757,-0.066102588,0.007002346,-0.046125657,-0.020957453,0.009230062,0.335805402,0.040598774,0.011839891,0.05017633,-0.001642981,-0.002616672,-0.03401214,0.000247127,-0.003874454,2.93E-11,2.04E-12,-6.83E-11,0.000848397,2.124559973,-0.287010245
RSR_TROPICS,-0.003842312,-0.03823984,0.049910345,-0.002449544,6.95E-05,-0.014401103,-0.058497012,-0.31440082,0.014149209,-0.006843077,-0.093293079,0.018297072,0.040598774,0.445963034,-0.006385512,-0.01892062,-0.002344657,0.001101264,-0.00705707,-0.001550089,-0.009075751,-5.16E-13,3.40E-11,-5.90E-11,0.062838176,0.444181646,0.820540416
RSR_SHX,0.028032476,-0.001657328,-0.02251716,0.001078847,-7.03E-06,0.00322639,-0.012902859,-0.004562839,-0.004234683,-0.020545335,-0.002382032,-0.006020342,0.011839891,-0.006385512,0.27608766,0.010162773,-0.000122958,-0.001052419,-0.02597063,0.000586909,-0.018175992,-1.27E-11,2.56E-12,9.02E-11,-0.011187822,1.134607008,-1.628864278
RSRC_NHX,-0.000884171,0.00193328,0.007343256,0.004236848,-2.27E-05,0.001094995,-0.01560907,0.033450698,0.002396389,-0.027779932,0.008893623,-0.001433835,0.05017633,-0.01892062,0.010162773,0.255856274,-0.000650575,-0.000700044,-0.024295306,-0.00225601,0.006452947,5.36E-13,7.30E-12,-4.43E-11,-0.018838451,2.057478368,-0.518048157
RSRC_TROPICS,0.000747085,0.001420841,-0.003813588,2.98E-05,-1.52E-06,0.00055881,0.002306138,0.003090694,-0.000787141,0.001996628,0.00138996,-0.000733706,-0.001642981,-0.002344657,-0.000122958,-0.000650575,0.017624342,-0.000132467,0.001440498,5.85E-06,4.35E-05,-3.02E-13,-4.27E-12,-4.39E-12,-0.000331323,-0.291067939,0.108589411
RSRC_SHX,-0.004401747,0.001459571,-0.000278943,0.001801055,-4.50E-06,0.000508393,0.001479629,-0.002307078,-0.000464195,-0.000781565,-0.000250461,-0.001446134,-0.002616672,0.001101264,-0.001052419,-0.000700044,-0.000132467,0.036832363,-0.000347559,0.000256086,-0.000279946,-1.05E-12,-4.61E-13,-4.30E-12,0.001263532,0.156584572,-0.100250568
LAT_NHX,-0.00941976,0.00887405,-0.007428104,-0.003661817,2.71E-06,0.000758366,0.028029552,0.014703414,-0.002581055,0.035409267,0.00566153,-0.000679938,-0.03401214,-0.00705707,-0.02597063,-0.024295306,0.001440498,-0.000347559,0.18113256,-0.000980824,0.002979972,-5.09E-12,-1.25E-11,-6.73E-11,0.004236195,-3.359661691,1.754085679
LAT_TROPICS,0.002038263,0.000703303,-0.005518082,0.000368311,-3.42E-06,0.000596649,-0.001674318,0.002204124,-0.003361971,-0.000924905,0.001462278,-0.001621403,0.000247127,-0.001550089,0.000586909,-0.00225601,5.85E-06,0.000256086,-0.000980824,0.034215884,-8.49E-05,1.48E-12,-3.65E-12,5.19E-12,0.000660045,0.202037261,-0.175663948
LAT_SHX,-0.010374897,0.012332181,-0.014359138,0.002004873,-2.82E-05,0.000844503,0.00194637,0.018599474,-0.002218318,-0.000786386,0.006434906,-0.002013289,-0.003874454,-0.009075751,-0.018175992,0.006452947,4.35E-05,-0.000279946,0.002979972,-8.49E-05,0.115943806,8.47E-12,-1.38E-13,-3.53E-11,0.000341995,0.309823398,0.485208031
Lprecip_NHX,-3.89E-13,6.60E-13,-1.72E-12,3.58E-12,-9.43E-15,9.20E-13,-3.06E-11,6.62E-12,3.58E-12,-1.46E-11,1.84E-12,2.76E-12,2.93E-11,-5.16E-13,-1.27E-11,5.36E-13,-3.02E-13,-1.05E-12,-5.09E-12,1.48E-12,8.47E-12,1.99E-10,2.00E-20,-5.70E-20,-7.19E-13,-5.70E-10,4.97E-10
Lprecip_TROPICS,-4.66E-13,-4.45E-11,9.40E-11,1.25E-12,8.27E-14,-1.16E-11,-1.86E-11,-3.85E-11,2.40E-11,-1.46E-11,-2.72E-11,1.88E-11,2.04E-12,3.40E-11,2.56E-12,7.30E-12,-4.27E-12,-4.61E-13,-1.25E-11,-3.65E-12,-1.38E-13,2.00E-20,4.16E-10,9.13E-21,-2.95E-14,5.82E-10,-5.97E-10
Lprecip_SHX,6.48E-11,-3.35E-11,-3.41E-11,-1.55E-11,5.21E-14,2.35E-12,-6.53E-12,1.03E-10,4.05E-12,-4.36E-11,2.42E-11,-2.25E-11,-6.83E-11,-5.90E-11,9.02E-11,-4.43E-11,-4.39E-12,-4.30E-12,-6.73E-11,5.19E-12,-3.53E-11,-5.70E-20,9.13E-21,1.12E-09,-2.76E-11,6.00E-09,-9.73E-09
netflux_GLOBAL,0.003024595,-0.00591971,-0.006032123,-0.004469858,6.15E-06,-0.00121926,-0.014623186,-0.114988746,-0.011513721,0.004335318,-0.033370713,-0.003355358,0.000848397,0.062838176,-0.011187822,-0.018838451,-0.000331323,0.001263532,0.004236195,0.000660045,0.000341995,-7.19E-13,-2.95E-14,-2.76E-11,0.189673339,-0.235467827,0.882836536
MSLP_NHX_DGM,-0.496968386,-0.320195478,0.872240061,0.102501333,-0.001855829,-0.262092101,-1.641856314,-0.305805854,-0.933424276,-3.725194262,-0.225210544,0.207414442,2.124559973,0.444181646,1.134607008,2.057478368,-0.291067939,0.156584572,-3.359661691,0.202037261,0.309823398,-5.70E-10,5.82E-10,6.00E-09,-0.235467827,27.80233673,-255.6020508
MSLP_TROPICS_DGM,-0.006414096,0.460627957,-0.70194058,-0.321170823,0.000111756,0.099709387,0.745143597,-1.778943767,-0.429201815,1.836565522,-0.454356581,-0.150497135,-0.287010245,0.820540416,-1.628864278,-0.518048157,0.108589411,-0.100250568,1.754085679,-0.175663948,0.485208031,4.97E-10,-5.97E-10,-9.73E-09,0.882836536,-255.6020508,13.79766653
