,TEMP@500_NHX,TEMP@500_SHX,TEMP@500_TROPICSLAND,TEMP@500_TROPICSOCEAN,RH@500_NHX,RH@500_SHX,RH@500_TROPICSLAND,RH@500_TROPICSOCEAN,OLR_NHX,OLR_SHX,OLR_TROPICSLAND,OLR_TROPICSOCEAN,OLRC_NHX,OLRC_SHX,OLRC_TROPICSLAND,OLRC_TROPICSOCEAN,RSR_NHX,RSR_SHX,RSR_TROPICSLAND,RSR_TROPICSOCEAN,RSRC_NHX,RSRC_SHX,RSRC_TROPICSLAND,RSRC_TROPICSOCEAN,LAT_NHX,LAT_SHX,LAT_TROPICSLAND,Lprecip_NHX,Lprecip_SHX,Lprecip_TROPICSLAND,netflux_GLOBAL,MSLP_NHX_DGM,MSLP_TROPICSLAND_DGM,MSLP_TROPICSOCEAN_DGM
TEMP@500_NHX,0.014912001,0.068138271,0.033469184,0.028670217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP@500_SHX,0.068138271,0.311348147,0.15293268,0.131004483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP@500_TROPICSLAND,0.033469184,0.15293268,0.075119781,0.064348758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP@500_TROPICSOCEAN,0.028670217,0.131004483,0.064348758,0.055122135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH@500_NHX,0,0,0,0,49.51523952,33.71019836,46.95557865,21.22513204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH@500_SHX,0,0,0,0,33.71019836,22.95005506,31.96756969,14.45016561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH@500_TROPICSLAND,0,0,0,0,46.95557865,31.96756969,44.52823793,20.12791146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH@500_TROPICSOCEAN,0,0,0,0,21.22513204,14.45016561,20.12791146,9.098334867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLR_NHX,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLR_SHX,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLR_TROPICSLAND,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLR_TROPICSOCEAN,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRC_NHX,0,0,0,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRC_SHX,0,0,0,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRC_TROPICSLAND,0,0,0,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRC_TROPICSOCEAN,0,0,0,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSR_NHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSR_SHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSR_TROPICSLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSR_TROPICSOCEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSRC_NHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0
RSRC_SHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0
RSRC_TROPICSLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0
RSRC_TROPICSOCEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0
LAT_NHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004005215,0.031089957,0.019311781,0,0,0,0,0,0,0
LAT_SHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031089957,0.241331743,0.149905182,0,0,0,0,0,0,0
LAT_TROPICSLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019311781,0.149905182,0.093114827,0,0,0,0,0,0,0
Lprecip_NHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24E-19,1.51E-18,1.29E-19,0,0,0,0
Lprecip_SHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51E-18,1.84E-17,1.57E-18,0,0,0,0
Lprecip_TROPICSLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-19,1.57E-18,1.35E-19,0,0,0,0
netflux_GLOBAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0,0,0
MSLP_NHX_DGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.1674579,312.7780793,23.81978968
MSLP_TROPICSLAND_DGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.7780793,187.353933,14.26804362
MSLP_TROPICSOCEAN_DGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81978968,14.26804362,1.086590847
