,TEMP@500_NHX,TEMP@500_TROPICS,TEMP@500_SHX,RH@500_NHX,RH@500_TROPICS,RH@500_SHX,OLR_NHX,OLR_TROPICS,OLR_SHX,OLRC_NHX,OLRC_TROPICS,OLRC_SHX,RSR_NHX,RSR_TROPICS,RSR_SHX,RSRC_NHX,RSRC_TROPICS,RSRC_SHX,LAT_NHX,LAT_TROPICS,LAT_SHX,Lprecip_NHX,Lprecip_TROPICS,Lprecip_SHX,netflux_GLOBAL,MSLP_NHX_DGM,MSLP_TROPICS_DGM
TEMP@500_NHX,0.000495622,0.002481168,0.004917156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP@500_TROPICS,0.002481168,0.012421146,0.024616113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP@500_SHX,0.004917156,0.024616113,0.048783986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH@500_NHX,0,0,0,64.00238039,26.17133935,49.78480032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH@500_TROPICS,0,0,0,26.17133935,10.70177389,20.3576007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH@500_SHX,0,0,0,49.78480032,20.3576007,38.72553377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLR_NHX,0,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLR_TROPICS,0,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLR_SHX,0,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRC_NHX,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRC_TROPICS,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLRC_SHX,0,0,0,0,0,0,0,0,0,20.25,20.25,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSR_NHX,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0
RSR_TROPICS,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0
RSR_SHX,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0
RSRC_NHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0
RSRC_TROPICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0
RSRC_SHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0
LAT_NHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002064855,0.013628874,0.00395082,0,0,0,0,0,0
LAT_TROPICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013628874,0.08995606,0.026077006,0,0,0,0,0,0
LAT_SHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395082,0.026077006,0.00755936,0,0,0,0,0,0
Lprecip_NHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58E-13,5.57E-13,3.32E-13,0,0,0
Lprecip_TROPICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57E-13,1.20E-12,7.15E-13,0,0,0
Lprecip_SHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32E-13,7.15E-13,4.26E-13,0,0,0
netflux_GLOBAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0
MSLP_NHX_DGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.8361816,115.8088379
MSLP_TROPICS_DGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.8088379,24.84399414
