olr_nhx,rsr_nhx,lat_nhx,lprecip_nhx,mslp_nhx_dgm,temp@500_nhx,rh@500_nhx,olr_tropics,rsr_tropics,lat_tropics,lprecip_tropics,mslp_tropics_dgm,temp@500_tropics,rh@500_tropics,olr_shx,rsr_shx,lat_shx,lprecip_shx,temp@500_shx,rh@500_shx
7.08E-01,-6.10E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.25E-01,-5.62E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.86E-01,-6.45E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-6.10E-01,7.79E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-7.11E-01,7.17E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-5.91E-01,8.23E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.35E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.35E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.18E-02,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,4.84E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.94E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-1.91E-13,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E+03,1.60E+01,1.60E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.91E+02,1.84E+01,2.31E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.15E+01,1.26E+02
0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,2.10E-01,2.11E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.82E+00,2.42E-01,3.03E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.83E-01,1.66E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+02,2.11E+00,2.11E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E+01,2.43E+00,3.04E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.83E+00,1.66E+01
8.25E-01,-7.11E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.62E-01,-6.55E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-01,-7.52E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-5.62E-01,7.17E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-6.55E-01,6.60E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-5.44E-01,7.58E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.35E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.16E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.58E-01,0.00E+00,0.00E+00,0.00E+00
